carrier_code,service_level,zone,weight_tier_min_lbs,weight_tier_max_lbs,contract_base_rate_usd,effective_date,expiration_date
UPS,NEXT_DAY_AIR,7,4,4,51.15,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,5,5,54.72,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,6,6,58.29,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,7,7,61.86,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,8,8,65.43,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,9,9,69.0,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,10,10,72.57,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,11,15,90.42,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,16,20,108.27,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,21,25,126.11,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,26,30,143.96,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,31,40,179.66,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,41,50,215.35,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,51,70,286.74,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,71,100,393.83,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,7,101,150,572.3,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,1,1,44.81,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,2,2,49.06,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,3,3,53.31,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,4,4,57.55,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,5,5,61.8,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,6,6,66.05,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,7,7,70.3,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,8,8,74.55,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,9,9,78.79,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,10,10,83.04,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,11,15,104.28,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,16,20,125.52,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,21,25,146.76,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,26,30,168.0,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,31,40,210.48,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,41,50,252.96,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,51,70,337.92,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,71,100,465.36,2026-01-01,2026-12-31
UPS,NEXT_DAY_AIR,8,101,150,677.76,2026-01-01,2026-12-31
